Test Dataset, Feature Selection,Learner,,,
,, 5-NN, C4.5D, C4.5N, NB
,No FS ,0.98416 ,0.99517 ,0.98998 ,0.93560
 2009-07-01 ,CS ,0.99594,-- ,0.98776 ,0.93972
 ,ROC ,0.98813 ,0.97659 ,0.97500 ,0.92236
,S2N ,0.98759 ,0.99812 ,0.99655 ,0.99263
,No FS ,0.97484 ,0.94669 ,0.98375 ,0.96057
 ,CS ,0.99514,-- ,0.93943 ,0.97557
 2009-07-08,ROC ,0.99752 ,0.99435 ,0.99600 ,0.97577
,S2N ,0.99762 ,0.99862 ,0.99687 ,0.99864
,No FS ,0.98066 ,0.92207 ,0.97940 ,0.95124
 ,CS ,0.99815,-- ,0.94032 ,0.95684
 2009-07-15,ROC ,0.99792 ,0.99000 ,0.99032 ,0.95876
,S2N ,0.99796 ,0.99631 ,0.99208 ,0.99847
,No FS ,0.98984 ,0.99158 ,0.98621 ,0.93282
 ,CS ,0.99222,-- ,0.97976 ,0.94226
 2009-07-22,ROC ,0.99082 ,0.98647 ,0.98659 ,0.92770
,S2N ,0.98779 ,0.98910 ,0.98974 ,0.97237
,No FS,0.87439 ,0.99909 ,0.99869 ,0.93344
 ,CS ,0.99852,-- ,0.99743 ,0.94051
 2009-07-29,ROC ,0.92009, 0.57019 ,0.89387 ,0.90711
 ,S2N, 0.88255 ,0.99929 ,0.99915 ,0.96439
,No FS ,0.99175 ,0.99900 ,0.99748 ,0.94751
 ,CS ,0.98548,-- ,0.99390 ,0.93008
 2009-08-05,ROC ,0.99146 ,0.99204 ,0.99251 ,0.94158
 ,S2N ,0.99717 ,0.99880 ,0.99847 ,0.99142
,No FS ,0.99296 ,0.99853 ,0.99616 ,0.97056
,CS ,0.99575 ,-- ,0.99084 ,0.96532
 2009-08-11,ROC ,0.99908 ,0.99399 ,0.99698 ,0.97089
 ,S2N ,0.99903 ,0.99837 ,0.99775 ,0.99797
,No FS ,0.93471 ,0.99885 ,0.99764 ,0.91773
,CS ,0.95607 ,-- ,0.99632, 0.89347
 2009-08-19,ROC ,0.94256 ,0.91848 ,0.96257 ,0.90635
 ,S2N ,0.99234 ,0.99823 ,0.99854 ,0.96936
,No FS ,0.99623 ,0.99836 ,0.99587 ,0.96964
,CS ,0.99770 ,-- ,0.99369 ,0.96028
 2009-08-26,ROC ,0.99928 ,0.99578 ,0.99656 ,0.94544
 ,S2N ,0.99932 ,0.99790 ,0.99744 ,0.97674
